depth_into_mask_nm,aperture_nm
818.16,75.09
818.76,75.09
819.36,74.49
819.96,75.09
820.57,75.09
821.17,75.09
821.77,75.09
822.37,75.09
822.97,75.09
823.57,75.09
824.17,75.09
824.77,75.09
825.37,75.09
825.97,75.69
826.57,75.69
827.17,75.09
827.77,75.09
828.37,75.09
828.98,75.09
829.58,74.49
830.18,74.49
830.78,74.49
831.38,74.49
831.98,73.29
832.58,73.29
833.18,73.29
833.78,73.29
834.38,73.29
834.98,72.08
835.58,72.08
836.18,72.08
836.78,72.08
837.39,72.69
837.99,72.69
838.59,72.69
839.19,72.69
839.79,72.69
840.39,72.69
840.99,73.29
841.59,73.29
842.19,73.29
842.79,73.29
843.39,73.29
843.99,73.89
844.59,73.89
845.19,73.89
845.80,73.89
846.40,73.89
847.00,73.89
847.60,73.89
848.20,73.89
848.80,73.89
849.40,73.89
