electron_energy_eV,a_3Pi_u_m2,A_1Pi_u_m2,b_3Pi_g_m2,B_1Pi_g_m2,C_1Delta_g_m2,c_3Sigma_g_minus_m2,D_1Sigma_g_plus_m2,e_3Sigma_u_plus_m2
6.6600000000000001,3.1583000000000001e-21,2.5448000000000001e-21,6.0370000000000003e-22,0,0,0,0,0
6.6799999999999997,3.0311e-21,2.5433e-21,5.9800000000000004e-22,0,0,0,0,0
6.7000000000000002,2.9342999999999999e-21,2.5455000000000001e-21,5.9300000000000001e-22,0,0,0,0,0
6.7199999999999998,2.8599000000000001e-21,2.5502000000000004e-21,5.8929999999999996e-22,0,0,0,0,0
6.7400000000000002,2.8020000000000002e-21,2.5566000000000001e-21,5.8679999999999999e-22,0,0,0,0,0
6.7599999999999998,2.7564000000000003e-21,2.5642000000000002e-21,5.8560000000000001e-22,0,0,0,0,0
6.7800000000000002,2.7202000000000003e-21,2.5725999999999999e-21,5.855e-22,0,0,0,0,0
6.7999999999999998,2.6912999999999999e-21,2.5815999999999998e-21,5.8639999999999997e-22,0,0,0,0,0
6.8200000000000003,2.6681999999999996e-21,2.5910000000000004e-21,5.8809999999999998e-22,0,0,0,0,0
6.8399999999999999,2.6497000000000003e-21,2.6006999999999998e-21,5.9040000000000003e-22,0,0,0,0,0
6.8600000000000003,2.6349000000000001e-21,2.6105999999999997e-21,5.9330000000000003e-22,0,0,0,0,0
6.8799999999999999,2.6231999999999998e-21,2.6206e-21,5.9660000000000005e-22,0,0,0,0,0
6.9000000000000004,2.6139999999999999e-21,2.6307999999999999e-21,6.003e-22,0,0,0,0,0
6.9199999999999999,2.6068999999999999e-21,2.6410999999999998e-21,6.0429999999999997e-22,0,0,0,0,0
6.9400000000000004,2.6017000000000003e-21,2.6513999999999997e-21,6.0849999999999996e-22,0,0,0,0,0
6.96,2.5981000000000001e-21,2.6616999999999996e-21,6.1280000000000004e-22,0,0,0,0,0
6.9800000000000004,2.5958000000000003e-21,2.6720999999999998e-21,6.1730000000000004e-22,0,0,0,0,0
7,2.5946999999999998e-21,2.6823999999999997e-21,6.2190000000000005e-22,0,0,0,0,0
7.0199999999999996,2.5945999999999998e-21,2.6928e-21,6.2659999999999997e-22,0,0,0,0,0
7.04,2.5954999999999999e-21,2.7030999999999999e-21,6.3129999999999999e-22,0,0,0,0,0
7.0599999999999996,2.5972e-21,2.7134999999999998e-21,6.36e-22,0,0,0,0,0
7.0800000000000001,2.5996000000000001e-21,2.7237999999999997e-21,6.4070000000000002e-22,0,0,0,0,0
7.0999999999999996,2.6028000000000004e-21,2.7340999999999996e-21,6.4539999999999994e-22,0,0,0,0,0
7.1200000000000001,2.6065000000000002e-21,2.7443999999999999e-21,6.5000000000000004e-22,0,0,0,0,0
7.1399999999999997,2.6108000000000001e-21,2.7545999999999998e-21,6.5469999999999996e-22,0,0,0,0,0
7.1600000000000001,2.6156e-21,2.7648000000000001e-21,6.5929999999999997e-22,0,0,0,0,0
7.1799999999999997,2.6208999999999996e-21,2.775e-21,6.6379999999999998e-22,0,0,0,0,0
7.2000000000000002,2.6266e-21,2.7851999999999999e-21,6.6829999999999998e-22,0,0,0,0,0
7.2199999999999998,2.6328e-21,2.7953000000000001e-21,6.7270000000000007e-22,0,0,0,0,0
7.2400000000000002,2.6393e-21,2.8055e-21,6.7699999999999997e-22,0,0,0,0,0
7.2599999999999998,2.6461000000000001e-21,2.8155999999999999e-21,6.8129999999999996e-22,0,0,6.7321400000000008e-27,0,0
7.2800000000000002,2.6532999999999998e-21,2.8256000000000002e-21,6.8530000000000002e-22,0,0,1.41494e-25,0,0
7.2999999999999998,2.6606999999999999e-21,2.8357e-21,6.8929999999999999e-22,0,0,3.4299599999999994e-25,0,0
7.3200000000000003,2.6684e-21,2.8456999999999999e-21,6.9329999999999996e-22,0,0,5.7627899999999992e-25,0,0
7.3399999999999999,2.6764000000000001e-21,2.8557000000000002e-21,6.9719999999999993e-22,0,0,8.261779999999999e-25,0,0
7.3600000000000003,2.6846999999999999e-21,2.8657000000000004e-21,7.0099999999999998e-22,0,0,1.0839399999999999e-24,0,0
7.3799999999999999,2.6932000000000001e-21,2.8757000000000003e-21,7.0469999999999993e-22,0,0,1.3439999999999999e-24,0,0
7.4000000000000004,2.7019999999999999e-21,2.8856999999999998e-21,7.0839999999999998e-22,0,0,1.6027e-24,0,0
7.4199999999999999,2.7109999999999997e-21,2.8958000000000001e-21,7.1200000000000002e-22,0,0,1.8575400000000003e-24,0,0
7.4400000000000004,2.7202000000000003e-21,2.9059e-21,7.1559999999999996e-22,0,0,2.1068199999999998e-24,0,0
7.46,2.7294999999999997e-21,2.9161000000000002e-21,7.1900000000000008e-22,0,0,2.3493799999999999e-24,0,0
7.4800000000000004,2.7390999999999999e-21,2.9264999999999998e-21,7.2240000000000002e-22,0,0,2.5843799999999998e-24,0,0
7.5,2.7486999999999998e-21,2.9371000000000001e-21,7.2560000000000003e-22,0,0,2.8111500000000003e-24,0,0
7.5199999999999996,2.7584e-21,2.9482e-21,7.2859999999999994e-22,0,0,3.0290100000000002e-24,0,0
7.54,2.7675999999999999e-21,2.9603e-21,7.3120000000000001e-22,2.05286e-24,0,3.2353700000000002e-24,0,0
7.5599999999999996,2.7770999999999997e-21,2.9676000000000001e-21,7.3379999999999999e-22,7.3089000000000011e-24,0,3.4335200000000003e-24,0,0
7.5800000000000001,2.7872e-21,2.9752999999999999e-21,7.3659999999999998e-22,1.1599999999999998e-23,0,3.6270800000000001e-24,0,0
7.5999999999999996,2.7976000000000003e-21,2.983e-21,7.3949999999999997e-22,1.5899999999999998e-23,0,3.8158700000000001e-24,0,0
7.6200000000000001,2.8083000000000002e-21,2.9905000000000001e-21,7.4259999999999998e-22,2.0199999999999997e-23,0,4.0000000000000004e-24,0,0
7.6399999999999997,2.8193999999999998e-21,2.9979000000000002e-21,7.4579999999999999e-22,2.4399999999999999e-23,0,4.1796300000000006e-24,0,0
