effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
1.2306106106106101,3.1200621492622302e-16,5.1058791591646996e-16,6.4354837001173795e-17,2.3392110742593603e-16,8.4901714712625206e-16,9.3716106241836003e-16
1.2506206206206201,3.3342476804017796e-16,5.3803820362270801e-16,7.2523650656100707e-17,2.52247239206391e-16,8.8312653086153891e-16,9.6947499041644109e-16
1.2706306306306301,3.5564665344928803e-16,5.6616956507800204e-16,8.1350370211562598e-17,2.7136041651787099e-16,9.1773101898569807e-16,1.0020683053199299e-15
1.2906406406406401,3.78670130768931e-16,5.94971309480127e-16,9.0854609956962999e-17,2.9126447378105199e-16,9.5281803490080205e-16,1.03492832398313e-15
1.3106506506506499,4.02492666104507e-16,6.2443243187895301e-16,1.0105511965442999e-16,3.1196255247550999e-16,9.8837514551691805e-16,1.0680426776936701e-15
1.3306606606606599,4.2711097781476795e-16,6.5454164748385801e-16,1.11969822104794e-16,3.3345708596467299e-16,1.02439006881116e-15,1.10139930943124e-15
1.3506706706706699,4.5252108152101495e-16,6.85287424071293e-16,1.23615847633086e-16,3.5574978780173101e-16,1.0608506803725799e-15,1.1349864706307e-15
1.3706806806806799,4.7871833419423097e-16,7.1665801255242696e-16,1.3600956408526198e-16,3.7884164389781302e-16,1.0977450190235001e-15,1.16879271751651e-15
1.39069069069069,5.0569747717853403e-16,7.4864147576399897e-16,1.4916660139474899e-16,4.0273290875109204e-16,1.1350612916003699e-15,1.2028069070684799e-15
1.4107007007007,5.3345267803345805e-16,7.8122571554777304e-16,1.6310187019552597e-16,4.2742310578165297e-16,1.1727878769702999e-15,1.2370181926728202e-15
1.43071071071071,5.6197757109946094e-16,8.1439849818544396e-16,1.77829574320501e-16,4.5291103169125892e-16,1.21091332935302e-15,1.2714160195068501e-15
1.45072072072072,5.9126529671092295e-16,8.4814747825667493e-16,1.9336321732646802e-16,4.7919476466779897e-16,1.2494263810121901e-15,1.3059901197005499e-15
1.47073073073073,6.2130853899873001e-16,8.8246022098811603e-16,2.0971560342997199e-16,5.0627167617913301e-16,1.28831594437469e-15,1.3407305073139299e-15
1.49074074074074,6.5209956224053799e-16,9.1732422316101191e-16,2.2689883342422802e-16,5.3413844604758798e-16,1.3275711136314299e-15,1.3756274731646801e-15
1.51075075075075,6.8363024573095002e-16,9.5272693264423213e-16,2.44924296280102e-16,5.6279108046178302e-16,1.3671811658689402e-15,1.41067157953723e-15
1.5307607607607601,7.1589211715641705e-16,9.8865576661855892e-16,2.6380265721941705e-16,5.9222493256383303e-16,1.40713556177647e-15,1.4458536548006899e-15
1.5507707707707701,7.4887638447062899e-16,1.02509812855665e-15,2.8354384309263596e-16,6.22434725244629e-16,1.4474239459700402e-15,1.4811647879604902e-15
1.5707807807807801,7.8257396627577e-16,1.0620414240215801e-15,3.04157025901626e-16,6.5341457578508203e-16,1.48803614697095e-15,1.5165963231654001e-15
