source_slide,source_panel,boundary_condition,quantity,cf2_fluence_1e15_cm2,digitized_value,digitization_uncertainty,marker_center_x_px,marker_center_y_px,trace_color,evidence_grade,source_image_sha256
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,200.669,17.004831,1.500000,240,645,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,401.338,30.531401,1.500000,280,610,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,602.007,40.966184,1.500000,320,583,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,797.659,51.014493,1.500000,359,557,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,998.328,60.289855,1.500000,399,533,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,1198.997,68.792271,1.500000,439,511,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,1399.666,78.454106,1.500000,479,486,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,199.675,0.393281,0.015000,644,505,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,399.351,0.276680,0.015000,685,564,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,599.026,0.217391,0.015000,726,594,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,798.701,0.203557,0.015000,767,601,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,998.377,0.181818,0.015000,808,612,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,1198.052,0.207510,0.015000,849,599,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_etch_yield,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,1402.597,0.217391,0.015000,891,594,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
