step=274 t=41.979s dt=0.1613s depth=764.343nm mask_opening=51.249nm wall=44.73s
step=275 t=42.140s dt=0.1604s depth=767.109nm mask_opening=51.141nm wall=45.53s
step=276 t=42.299s dt=0.1591s depth=770.144nm mask_opening=51.032nm wall=42.05s
step=277 t=42.458s dt=0.1592s depth=772.468nm mask_opening=50.921nm wall=41.72s
step=278 t=42.621s dt=0.1636s depth=774.961nm mask_opening=50.806nm wall=43.83s
step=279 t=42.782s dt=0.1606s depth=777.764nm mask_opening=50.690nm wall=44.45s
step=280 t=42.943s dt=0.1608s depth=780.736nm mask_opening=50.571nm wall=44.52s
step=281 t=43.105s dt=0.1617s depth=783.150nm mask_opening=50.446nm wall=44.90s
step=282 t=43.262s dt=0.1571s depth=785.761nm mask_opening=50.320nm wall=42.90s
step=283 t=43.423s dt=0.161s depth=788.653nm mask_opening=50.955nm wall=42.05s
step=284 t=43.585s dt=0.1626s depth=791.596nm mask_opening=50.844nm wall=45.72s
step=285 t=43.745s dt=0.1603s depth=794.168nm mask_opening=50.730nm wall=45.86s
step=286 t=43.906s dt=0.1608s depth=796.936nm mask_opening=50.606nm wall=44.49s
step=287 t=44.068s dt=0.162s depth=799.987nm mask_opening=50.474nm wall=46.53s
step=288 t=44.230s dt=0.162s depth=802.779nm mask_opening=51.091nm wall=44.49s
step=289 t=44.392s dt=0.1615s depth=805.268nm mask_opening=50.971nm wall=45.40s
step=290 t=44.552s dt=0.1604s depth=808.087nm mask_opening=50.846nm wall=44.29s
step=291 t=44.714s dt=0.1616s depth=811.023nm mask_opening=50.713nm wall=42.95s
step=292 t=44.877s dt=0.1631s depth=813.495nm mask_opening=50.572nm wall=44.20s
step=293 t=45.031s dt=0.1543s depth=816.002nm mask_opening=50.429nm wall=41.68s
step=294 t=45.194s dt=0.163s depth=818.874nm mask_opening=50.273nm wall=45.24s
step=295 t=45.358s dt=0.1642s depth=821.692nm mask_opening=51.010nm wall=47.60s
step=296 t=45.523s dt=0.1646s depth=824.284nm mask_opening=50.870nm wall=49.60s
step=297 t=45.687s dt=0.1637s depth=827.035nm mask_opening=50.736nm wall=47.73s
step=298 t=45.852s dt=0.1655s depth=830.051nm mask_opening=50.607nm wall=47.30s
step=299 t=46.018s dt=0.1664s depth=832.501nm mask_opening=50.484nm wall=46.63s
step=300 t=46.181s dt=0.1625s depth=835.131nm mask_opening=50.396nm wall=48.41s
step=301 t=46.202s dt=0.02052s depth=835.451nm mask_opening=50.386nm wall=140.97s
step=302 t=46.217s dt=0.01539s depth=835.689nm mask_opening=50.378nm wall=49.93s
step=303 t=46.228s dt=0.01154s depth=835.867nm mask_opening=50.373nm wall=47.94s
step=304 t=46.231s dt=0.002164s depth=835.894nm mask_opening=50.371nm wall=94.54s
step=305 t=46.231s dt=0.0004058s depth=835.894nm mask_opening=50.371nm wall=86.93s
step=306 t=46.231s dt=7.609e-05s depth=835.889nm mask_opening=50.371nm wall=82.12s
